instrument,samba,mix,sdr,isr,sir,sar,perm
SU,MA,6,-0.5850878228710649,0.07090455127701134,-20.020075270465284,11.750480532725444,4
TT,MA,6,-0.13337243414679742,0.016024450400989404,-22.10903743812915,4.582827441388505,5
CX,VSE,2,3.908268102965313,8.454578681609258,4.3503902171551605,7.619087054640216,0.0
PD,VSE,2,9.914634019694196,15.774251324477897,12.251081871428571,15.913187941756323,0.0
RR,VSE,2,6.613117929996545,7.747477032804026,21.768752711715727,12.040198168039694,0.5
TB,VSE,2,6.8287967525890245,15.589837571156483,8.222325635849801,13.459963502094931,1.0
TT,VSE,2,11.718825001501287,26.832562813385866,12.92459858640395,20.139801186739703,1.0
CX,VSE,3,-0.27316252440996736,1.0756756997365127,-8.744050443114489,6.159187304258351,0.0
PD,VSE,3,-0.30604993826394056,0.3717046527783779,-11.504479888320864,9.751783330257636,0.5
RR,VSE,3,1.8211481653920014,3.7308891702641747,5.985454626275597,10.161544075735357,1.0
TB,VSE,3,-1.2588941882770404,4.577641397065077,-9.977441277522095,13.40204368184596,1.5
TT,VSE,3,4.132489118281849,12.713680902198057,1.462511712825826,11.715551582454587,2.0
CX,VSE,4,-0.7672308344449044,0.5854862045315269,-13.042852967778135,5.95459076307859,0.0
PD,VSE,4,-0.2287290513343392,0.2551399882249269,-12.871365229259847,7.83820835072809,1.0
RR,VSE,4,-0.9844396651651811,1.6624686635143195,-9.452720538276374,9.700520290527564,1.5
TB,VSE,4,-5.655815815379821,0.9593129577732655,-22.210283504674937,12.28488805929766,2.0
TT,VSE,4,0.416004864554568,1.5280254333914602,-6.209223047385295,5.372867437404542,3.0
CX,VSE,5,-0.8350748637257017,0.42650131754161535,-15.296254902709883,5.465353061876161,0
PD,VSE,5,-0.17762560095470104,0.21255042677254343,-12.350646609316911,7.094099515235314,1
RR,VSE,5,-0.975103389349208,1.0487036926853064,-10.79429995305712,8.705424207684512,2
TB,VSE,5,-6.232670682143741,0.8665427461208572,-22.933027011883993,11.753380485653523,3
TT,VSE,5,0.26484373614791734,1.428291135660908,-6.910902455190191,5.3028512656766935,4
PD,VMA,2,-0.34481868824323275,2.9480832964131536,-6.403857418423015,8.640917952345623,0
TT,VMA,2,6.709454343728694,10.079001817426496,6.850125343288641,15.487851483682615,1
