instrument,samba,mix,sdr,isr,sir,sar,perm
RR,SE,6,-0.45007950950109066,1.2145795215667676,-10.339015234183,6.608263199782948,2.0
RP,SE,6,-0.1213102039784762,0.07106937700898425,-15.758781069628611,6.743406166831511,2.5
SK,SE,6,-2.5075364794527237,0.8225701518786173,-20.70660972868708,9.547552730710116,3.0
SU,SE,6,-0.30596763083642836,0.33463368541730243,-20.373189877720378,9.470067133099302,4.0
TB,SE,6,-1.4668381606591185,1.5593472844060365,-13.46999408529467,8.543045328136355,4.0
TT,SE,6,-0.6262391166299806,0.19109941327212582,-20.327097356361822,7.3368732235328515,5.0
AG,SE,7,11.805743096584546,20.13523658751985,14.90141622852764,15.322222910136539,0.0
CX,SE,7,-0.2449377419947666,0.47695178204359634,-11.965681993554592,3.523768642276052,1.0
PD,SE,7,0.23565016589422444,0.43855501961460525,-7.296503259225175,7.347656545277453,2.0
RR,SE,7,-0.06328247058117324,1.029451375812544,-9.03157554955623,5.13156189125214,2.0
RP,SE,7,-0.10661626530494375,0.03554445813404759,-16.230751019707355,6.701086664737415,3.0
SK,SE,7,-10.843111831162386,0.007368792484294801,-31.726924848108045,17.59593949826792,4.0
SU,SE,7,-0.33498675567975217,0.02279832188320203,-23.063586741529686,8.36590982040768,4.0
TB,SE,7,-1.8840805639119873,1.0085740641954757,-16.87768791069071,8.462227596509447,5.0
TT,SE,7,-0.6938780972013088,0.07338670815816686,-21.494287574967746,6.934624760378997,6.0
AG,SE,8,11.612166544826081,19.82684630742712,14.666303385679367,15.111517556265415,0.0
CX,SE,8,-0.2513742979173331,0.3917262087856655,-12.624138941844706,3.4737070220027126,1.0
PD,SE,8,0.18762837034828908,0.4150221427408678,-8.574875437407396,7.54374586046359,2.0
RR,SE,8,0.16203774468260065,0.9365537425650503,-8.405622159093252,3.0162566599808067,3.0
RP,SE,8,-0.07185380674679151,0.02841787011635883,-16.22804936815352,6.552211148522055,3.5
SK,SE,8,-11.00008548624102,-0.00575676525832261,-32.39627647142038,17.738828462710053,4.0
SU,SE,8,-0.303911361978493,0.0031249147767933765,-26.2154692878359,7.3734062085248775,5.0
TB,SE,8,-4.328964451862217,0.838231637858037,-21.13369190553844,10.519978785455109,6.0
TT,SE,8,-0.6688853044886287,0.06326917488858189,-21.845827604169195,6.641495481685122,7.0
AG,SE,9,11.26316219192994,19.547351659740947,14.157090473779554,14.969598250191432,0
CX,SE,9,-0.24309337725509236,0.37538412459244064,-12.935038900723818,3.2066243341979437,1
PD,SE,9,0.17352316795752437,0.3931974437234842,-8.856045086824086,7.412215019041159,2
RR,SE,9,0.07878154247958066,0.8481139443205549,-8.628120184280588,2.8139225758094915,3
RP,SE,9,-0.06594622517548088,0.026728132940509082,-15.881111434512732,6.625764281235458,4
SK,SE,9,-11.015537623454755,-0.008020320489607054,-32.505314265536136,17.772689232718584,5
SU,SE,9,-0.2899655877626836,0.0031518555834053365,-27.82957500175753,6.955210589313518,6
TB,SE,9,-4.52766629649399,0.748097537847775,-22.831598534766,10.530762141197831,7
TT,SE,9,-0.6434744199629328,0.061641273339479,-21.355064732070286,6.683994902446081,8
AG,VPA,2,20.112498791120224,30.605204782974994,25.14976587739787,23.14883016989096,0.0
CU,VPA,2,18.270196657931564,23.069710668545138,26.635772834910142,21.49129068044389,0.0
PD,VPA,2,15.239983434563477,25.076649518453156,18.245472741294286,19.84997764123502,0.5
RR,VPA,2,9.438475640632422,10.936598148857634,19.47746653643737,13.847070146306503,1.0
SU,VPA,2,22.722387925880376,48.4820676521725,24.826876449522324,27.93538607502049,1.0
AG,VPA,3,15.922264435674151,26.37380345548474,19.263759289995235,19.621798535291997,0.0
CU,VPA,3,14.636883886267634,18.918542579021583,22.1069759535904,17.193015639310694,0.5
PD,VPA,3,-0.13828382621465865,3.31522563482559,-6.5897635383423445,13.220618859324706,1.0
RR,VPA,3,-0.029600233098540762,7.2793097915915155,0.11439334380006727,16.416098942790946,1.5
SU,VPA,3,11.468384496329184,21.375343327629498,5.25970600678275,17.572877131828683,2.0
AG,VPA,4,14.340649616969237,23.542825492913842,17.207607530456094,17.834845096765203,0.0
CU,VPA,4,12.947339348011806,17.061468330962093,21.06027571910949,15.317159630307987,1.0
PD,VPA,4,-0.09193633387466074,0.11290085285766391,-7.579005237162052,7.948597119000138,1.5
RR,VPA,4,-10.778240740541904,1.467576929416438,-28.181369614732148,20.012903982868558,2.0
SU,VPA,4,-0.1454614737754468,0.1187310177588197,-15.709054910902083,6.357795807743348,3.0
AG,VPA,5,13.301481488707092,22.319754996878274,16.523290805155963,16.846209911782964,0
CU,VPA,5,12.457936104074186,16.435614501472607,19.74811341139224,15.043694091768183,1
PD,VPA,5,-0.06217388176803818,0.1060961875546651,-8.619960574217448,8.013365784728869,2
RR,VPA,5,-12.82233127014507,0.040791459362980904,-37.79584999091217,21.42598149414311,3
SU,VPA,5,-0.10854299917063126,0.094931004035951,-14.494600145514307,4.175053837347631,4
AG,PA,2,11.30747136891866,24.068809458590145,17.633124626203468,15.904117314051192,0.0
CX,PA,2,8.112200440240539,10.810095367999407,17.727812856459146,12.287094924957607,0.0
CU,PA,2,14.920765554577773,20.885983150068025,24.763764753758807,18.49724453501691,0.0
PD,PA,2,10.422502932619544,18.39822481342795,14.22103524352084,19.547929795231674,0.0
RR,PA,2,5.632085165161936,6.944979624288999,16.975673891910528,10.79696915147256,0.0
RP,PA,2,6.913550169357011,8.666734598451992,22.63203303964454,14.034921259345241,1.0
SK,PA,2,10.83253122244923,17.35004448324523,20.654232376600177,14.161761846156807,1.0
SU,PA,2,15.732669484001129,46.85637314055187,17.70213310060229,24.388509287102874,1.0
TB,PA,2,3.071593208090655,16.709236283929563,3.5359125390537267,15.814829546858823,1.0
TT,PA,2,3.4892800897567877,24.424731993710406,3.671779683615674,17.426415031295235,1.0
AG,PA,3,8.724601334262575,20.71768876632813,11.761278461969757,12.962016034653736,0.0
CX,PA,3,2.8204903396938446,3.154505483832995,8.881082476451073,7.447637090821424,0.0
CU,PA,3,12.449260919510643,18.163650677182307,19.57487669285184,15.353986350991772,0.0
PD,PA,3,0.30921953452192064,0.4460345735551975,1.9889212077315699,7.31062401823061,1.0
RR,PA,3,2.7777673467105854,4.311977823180381,8.682793267786057,8.880665121111207,1.0
RP,PA,3,0.015418144763993627,0.4255521127233658,-2.9376595108540027,9.724539596592546,1.0
SK,PA,3,5.193762959197066,7.62866113517521,16.59083370667281,13.167124392603977,1.0
SU,PA,3,8.367886119820344,35.23226890458437,8.690473608645041,22.515790806284592,2.0
TB,PA,3,-0.24531145181476804,7.187220554508551,-1.658216402959382,13.592830780025398,2.0
TT,PA,3,-0.9586409843248247,15.70064026187852,-6.072046517766871,13.175669453903502,2.0
AG,PA,4,6.070837344530122,19.620985522590367,8.095772829665798,11.936482184325008,0.0
CX,PA,4,1.0407694224310053,1.496172920832743,-0.6398339362607766,5.468772656826128,0.0
CU,PA,4,11.368454195552278,16.53886927181166,18.354680671279517,14.069503147042386,1.0
PD,PA,4,0.22306568849160724,0.39232368932848893,0.8745073797196523,7.051733310354719,1.0
RR,PA,4,1.9323020925988117,2.6104257327646954,2.572550826818917,7.498355048958812,1.0
RP,PA,4,-0.20041305553129565,0.18207085154197694,-11.128993672953698,7.457412692360251,2.0
SK,PA,4,1.2675118600471418,4.272340597332306,-0.9685413088108099,10.844725063287163,2.0
SU,PA,4,3.1795733164038396,24.799509583706016,3.211802552210364,21.01037154389705,2.0
TB,PA,4,-1.97442643857292,2.4878595515233037,-9.2344144438105,11.487704350725513,3.0
TT,PA,4,-1.7910554171062278,9.022780748072122,-6.744763405091769,11.399094626796614,3.0
AG,PA,5,5.3835395100900305,18.492791115723207,7.151096572827013,11.172569966236434,0.0
CX,PA,5,0.5072827453076489,0.9147924595695616,-4.06544984716385,4.786592053904703,0.0
CU,PA,5,10.48805789030759,15.06857547466734,16.73898908158005,13.163473094866028,1.0
PD,PA,5,0.14817625403643558,0.29590743560820953,-1.246243513852726,6.995260030838928,1.0
RR,PA,5,0.2272395215671273,1.751523712683517,-6.696219514187478,6.752464139511291,2.0
RP,PA,5,-0.2693355565371829,0.09421680929701869,-16.691939813657232,6.836807703372854,2.0
SK,PA,5,1.0307516363488096,2.0481530847789244,-3.0554956555708914,10.076090714493255,3.0
SU,PA,5,1.6201157261886976,22.094254921817218,1.6691057292334701,16.02327272714483,3.0
TB,PA,5,-2.495220717468091,1.832997049827073,-13.595760872338342,10.634187619723338,4.0
TT,PA,5,-4.50960023821523,6.465804962142862,-8.23169539556537,10.218427593198433,4.0
AG,PA,6,4.840939991077388,17.670042289310224,6.363099985656021,10.342069138917473,0.0
CX,PA,6,0.3426478228073962,0.7258195505875923,-5.752944041408361,4.412571336301685,1.0
CU,PA,6,9.938542916018285,14.109885805348798,15.692596436099917,12.444874574706805,1.0
PD,PA,6,0.09092109254341232,0.2369905387176696,-4.742824645685442,7.027739456075128,2.0
RR,PA,6,-0.16963106783528256,1.125272084188809,-8.803303789212636,6.259993821764715,2.0
RP,PA,6,-0.27580904132663464,0.06366862448676558,-20.538837860134528,6.51844741872587,3.0
SK,PA,6,-0.9115753796991635,1.339299827438602,-14.9606065046064,9.649594576341293,3.0
SU,PA,6,-0.2107734350863557,0.8245837371417646,-15.353476367952151,12.342509984063676,4.0
TB,PA,6,-4.950953159482834,1.6599435544562144,-15.635544744248167,10.168930223638391,4.0
TT,PA,6,-4.851944359663114,2.223498073504903,-8.803768237203144,9.063259306851593,5.0
AG,PA,7,4.109993362292361,16.758910271799138,5.403563663085185,9.591521266290108,0.0
CX,PA,7,0.22817995499037635,0.6002679400394462,-6.997618880093365,4.370888928030965,1.0
CU,PA,7,9.247564030952002,13.445704347055898,14.334796233122056,11.816549380981755,1.0
PD,PA,7,0.06094134608034499,0.20856936000901088,-6.927559200928863,6.98577731005885,2.0
RR,PA,7,-0.21012424336027452,0.8194114938207278,-9.827074661580305,5.481499084204852,3.0
RP,PA,7,-0.2558714045973869,0.03794500377961678,-22.32013533150683,6.347867888153106,3.0
SK,PA,7,-1.7602685558399511,0.5040709754789612,-20.984946111919925,10.125667021236346,4.0
SU,PA,7,-0.25718990554085475,0.5480611003493905,-18.482817828921256,10.274411632477747,5.0
